year,name,english_name,length,genres,release_date,location,nation,director,company,link,awards,nominations,mid,rating,total_box_office,main_actors
2011,绿灯侠,Green Lantern,114分钟,动作 冒险 科幻,2011年10月20日,中国上映 - 2D/3D,美国,马丁·坎贝尔,华纳兄弟影片公司,http://movie.mtime.com/89943/,0,0,89943,6.8,7400.0万,瑞安·雷诺兹 ; Ryan Reynolds ; 布蕾克·莱弗利 ; Blake Lively ; 彼得·萨斯加德 ; Peter Sarsga.. ; 马克·斯特朗 ; Mark Strong
2011,最强囍事,All's Well Ends Well 2011,,喜剧,2011年1月31日,中国上映 - 2D,中国香港,陈庆嘉,Cathay-Keris Films Pte. Ltd.,http://movie.mtime.com/134509/,0,0,134509,6,1.70亿,甄子丹 ; Donnie Yen ; 古天乐 ; Louis Koo ; 张柏芝 ; Cecilia Cheung ; 刘嘉玲 ; Carina Lau
2011,时间规划局,In Time,109分钟,动作 科幻 惊悚,2011年10月28日,美国上映,美国,安德鲁·尼科尔,二十世纪福斯电影公司,http://movie.mtime.com/133371/,0,0,133371,7.3,-,贾斯汀·汀布莱克 ; Justin Timbe.. ; 阿曼达·塞弗里德 ; Amanda Seyfr.. ; 奥利维亚·王尔德 ; Olivia Wilde ; Shyloh Oostwald
2011,我知女人心,I Know a Woman's Heart,116分钟,爱情 喜剧,2011年2月3日,中国上映 - 2D,中国,陈大明,博纳影业集团,http://movie.mtime.com/132425/,0,0,132425,6.4,6758.0万,刘德华 ; Andy Lau ; 胡静 ; Jing Hu ; 巩俐 ; Li Gong ; 王德顺 ; Deshun Wang
2011,命运规划局,The Adjustment Bureau,6300分钟,爱情 科幻 惊悚,2011年3月4日,美国上映,美国,乔治·诺非,环球影业,http://movie.mtime.com/100894/,0,0,100894,7.6,-,马特·达蒙 ; Matt Damon ; 艾米莉·布朗特 ; Emily Blunt ; 特伦斯·斯坦普 ; Terence Stamp ; 迈克尔·凯利 ; Michael Kelly
2011,名侦探柯南2011：沉默的15分钟,Detective Conan: Quarter of Silence,109分钟,动画 悬疑,2011年11月4日,中国上映 - 2D,日本,山本泰一郎,东宝国际,http://movie.mtime.com/140702/,0,0,140702,7.4,-,高山南 ; Minami Takay.. ; 山崎和佳奈 ; Wakana Yamaz.. ; 小山力也 ; Rikiya Koyama ; 山口胜平 ; Kappei Yamag..
2011,亲密敌人,Dear Enemy,,剧情 爱情 喜剧,2011年12月23日,中国上映 - 2D,中国,徐静蕾,中国电影集团公司,http://movie.mtime.com/147231/,0,0,147231,6.1,1.13亿,徐静蕾 ; Jinglei Xu ; 黄立行 ; Stanley Huang ; 李治廷 ; Aarif Lee ; 梁咏琪 ; Gigi Leung
2011,亡命驾驶,Drive,95分钟,犯罪 剧情,2011年9月16日,美国上映,美国,尼古拉斯·温丁·雷弗恩,Alliance Vivafilm,http://movie.mtime.com/138085/,1,14,138085,7.4,-,瑞恩·高斯林 ; Ryan Gosling ; 凯瑞·穆丽根 ; Carey Mulligan ; 布莱恩·科兰斯顿 ; Bryan Cranston ; 艾伯特·布鲁克斯 ; Albert Brooks
2011,不求回报,No Strings Attached,,喜剧 爱情,2011年1月21日,美国上映,美国,伊万·雷特曼,派拉蒙影业公司,http://movie.mtime.com/130141/,0,0,130141,7.3,-,娜塔莉·波特曼 ; Natalie Port.. ; 艾什顿·库彻 ; Ashton Kutcher ; 凯文·克莱恩 ; Kevin Kline ; 加利·艾尔维斯 ; Cary Elwes
2011,宿醉2,The Hangover Part II,102分钟,喜剧,2011年5月26日,美国上映,美国,托德·菲利普斯,华纳兄弟影片公司,http://movie.mtime.com/106272/,0,0,106272,7.3,-,布莱德利·库珀 ; Bradley Cooper ; 扎克·加利费安纳基斯 ; 艾德·赫尔姆斯 ; Ed Helms ; 贾斯汀·巴萨 ; Justin Bartha
2011,超级8,Super 8,112分钟,悬疑 科幻 惊悚,2011年6月10日,美国上映,美国,J·J·艾布拉姆斯,Central Partnership,http://movie.mtime.com/129920/,0,0,129920,7.5,-,乔尔·科特尼 ; Joel Courtney ; 艾丽·范宁 ; Elle Fanning ; 凯尔·钱德勒 ; Kyle Chandler ; 莱利·格里菲斯 ; Riley Griffi..
2011,雪花秘扇,Snow Flower and the Secret Fan,104分钟,剧情 历史,2011年6月24日,中国上映 - 2D,美国,王颖,福斯探照灯公司,http://movie.mtime.com/118112/,0,0,118112,6,3467.0万,李冰冰 ; Bingbing Li ; 全智贤 ; Gianna Jun ; 休·杰克曼 ; Hugh Jackman ; 邬君梅 ; Vivian Wu
2011,三个火枪手,The Three Musketeers,110分钟,动作 冒险 爱情,2012年5月15日,中国上映,德国,保罗·安德森,康斯坦丁影业公司,http://movie.mtime.com/130087/,0,0,130087,7.3,3900.0万,罗根·勒曼 ; Logan Lerman ; 米拉·乔沃维奇 ; Milla Jovovich ; 奥兰多·布鲁姆 ; Orlando Bloom ; 马修·麦克费登 ; Matthew Macf..
2011,万有引力,The Law Of Attraction,94分钟,剧情,2011年4月8日,中国上映 - 2D,中国,赵天宇,北京红圈凯拾文化传播有限公司,http://movie.mtime.com/133646/,0,0,133646,6.8,345.0万,莫文蔚 ; Karen Mok ; 张静初 ; Jingchu Zhang ; 郭涛 ; Tao Guo ; 戴立忍 ; Leon Dai
2011,一次别离,A Separation,123分钟,剧情 悬疑,2012年11月13日,中国上映 - 2D,伊朗,阿斯哈·法哈蒂,Memento Films,http://movie.mtime.com/143329/,13,6,143329,8.6,430.0万,蕾拉·哈塔米 ; Leila Hatami ; 佩曼·莫阿迪 ; Peyman Moaadi ; 萨丽娜·法哈蒂 ; Sarina Farhadi ; 萨蕾·巴亚特 ; Sareh Bayat
2011,小红帽,Red Riding Hood,100分钟,奇幻 恐怖 悬疑,2011年3月11日,美国上映,美国,凯瑟琳·哈德威克,华纳兄弟影片公司,http://movie.mtime.com/126159/,0,0,126159,6.7,-,阿曼达·塞弗里德 ; Amanda Seyfr.. ; 希罗·弗南德兹 ; Shiloh Ferna.. ; 麦克斯·艾恩斯 ; Max Irons ; 加里·奥德曼 ; Gary Oldman
2011,狂暴飞车,Drive Angry,100分钟,动作 奇幻 惊悚,2011年9月15日,中国上映 - 2D/3D,美国,帕特里克·卢西尔,顶峰娱乐,http://movie.mtime.com/113984/,0,0,113984,6.5,6810.0万,尼古拉斯·凯奇 ; Nicolas Cage ; 艾梅柏·希尔德 ; Amber Heard ; 威廉·菲德内尔 ; William Fich.. ; 比利·伯克 ; Billy Burke
